epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
0,234,,,,,,,,,,,,,,,,,30.695301055908203,15.910684585571289,29.862438201904297,0.9809069037437439,33.11671829223633,16.35211181640625,32.283992767333984,0.968999981880188,25.21917724609375,13.0724458694458,24.386829376220703,0.9444444179534912,33.46784591674805,16.44550323486328,32.635135650634766,0.9682856798171997
0,234,31.11566925048828,15.487273216247559,30.282438278198242,0.9729729890823364,33.69101333618164,16.111661911010742,32.85762405395508,0.9605333209037781,29.58534049987793,14.325140953063965,28.751253128051758,0.9791666865348816,33.972686767578125,16.191099166870117,33.1392822265625,0.9591896533966064,,,,,,,,,,,,,,,,
1,469,,,,,,,,,,,,,,,,,31.40475845336914,19.35831642150879,30.57151222229004,0.964200496673584,34.165714263916016,19.363557815551758,33.332435607910156,0.9674000144004822,26.799715042114258,16.581876754760742,25.96648597717285,0.9861111044883728,34.539894104003906,19.408466339111328,33.706607818603516,0.9673985242843628
1,469,24.45574378967285,13.026721000671387,23.621904373168945,0.9020270109176636,28.442890167236328,14.148518562316895,27.609424591064453,0.9128000140190125,23.8607234954834,11.832879066467285,23.02422523498535,0.9166666865348816,28.853973388671875,14.278645515441895,28.02057456970215,0.9136817455291748,,,,,,,,,,,,,,,,
2,704,,,,,,,,,,,,,,,,,27.069751739501953,20.464862823486328,26.23650360107422,0.9045345783233643,28.777856826782227,19.62792205810547,27.944543838500977,0.9028000235557556,21.72783660888672,17.094562530517578,20.894775390625,0.9027777910232544,29.04914093017578,19.59060287475586,28.215839385986328,0.9026391506195068
2,704,18.397695541381836,11.491973876953125,17.565959930419922,0.8479729890823364,22.887065887451172,12.577662467956543,22.053781509399414,0.8842666745185852,17.459074020385742,10.95568561553955,16.624258041381836,0.8541666865348816,23.35370445251465,12.69487476348877,22.520301818847656,0.887844979763031,,,,,,,,,,,,,,,,
3,939,,,,,,,,,,,,,,,,,16.844579696655273,12.056892395019531,16.011266708374023,0.8782815933227539,19.28708839416504,12.312627792358398,18.453794479370117,0.8871999979019165,13.063067436218262,10.124187469482422,12.22988510131836,0.8888888955116272,19.613447189331055,12.371335983276367,18.7801456451416,0.8880017995834351
3,939,9.342171669006348,4.5349907875061035,8.509954452514648,0.787162184715271,13.870783805847168,5.667535305023193,13.037315368652344,0.837066650390625,8.840437889099121,4.170531272888184,8.00833797454834,0.8333333134651184,14.335233688354492,5.787057876586914,13.501641273498535,0.8414562344551086,,,,,,,,,,,,,,,,
4,1174,,,,,,,,,,,,,,,,,16.8988037109375,9.970486640930176,16.065279006958008,0.8448687195777893,18.423357009887695,10.328750610351562,17.589805603027344,0.875,12.411270141601562,7.643793106079102,11.577752113342285,0.9305555820465088,18.66102409362793,10.40492057800293,17.827470779418945,0.8769128322601318
4,1174,8.568462371826172,3.8535971641540527,7.7347493171691895,0.7939189076423645,11.544936180114746,4.732889652252197,10.711756706237793,0.8245333433151245,6.7645697593688965,3.3209125995635986,5.930516719818115,0.7708333134651184,11.870986938476562,4.8292036056518555,11.037857055664062,0.827950656414032,,,,,,,,,,,,,,,,
