epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
0,1406,,,,,,,,,,,,,,,,,8.15505313873291,3.1170926094055176,7.321822643280029,0.7517899870872498,10.492339134216309,3.531219959259033,9.659099578857422,0.7964000105857849,6.638400077819824,2.393449544906616,5.805225372314453,0.7638888955116272,10.771077156066895,3.587869167327881,9.937828063964844,0.8010645508766174
0,1406,14.415334701538086,6.085205554962158,13.58161449432373,0.7983471155166626,18.039249420166016,7.102747440338135,17.205591201782227,0.8327111005783081,12.695390701293945,5.432417392730713,11.861242294311523,0.7891156673431396,18.43886375427246,7.217399597167969,17.605207443237305,0.8363984227180481,,,,,,,,,,,,,,,,
1,2813,,,,,,,,,,,,,,,,,6.6099324226379395,2.7493040561676025,5.77691125869751,0.7183771133422852,6.580878257751465,2.6181161403656006,5.747798442840576,0.7608000040054321,6.1087188720703125,2.136009454727173,5.275872707366943,0.75,6.585717678070068,2.6136252880096436,5.752631664276123,0.7649146318435669
1,2813,7.063117027282715,2.9659221172332764,6.2299652099609375,0.7388429641723633,8.489873886108398,3.23549485206604,7.6565937995910645,0.7946222424507141,6.611147880554199,2.7489564418792725,5.777367115020752,0.8163265585899353,8.643953323364258,3.2665061950683594,7.810667037963867,0.799274206161499,,,,,,,,,,,,,,,,
2,4220,,,,,,,,,,,,,,,,,6.049514293670654,2.609205961227417,5.216352939605713,0.7517899870872498,6.239180088043213,2.502936363220215,5.406121730804443,0.7325999736785889,5.513327598571777,2.2149100303649902,4.680479049682617,0.7777777910232544,6.268394947052002,2.497661590576172,5.435341835021973,0.730095386505127
2,4220,6.116195201873779,2.653024196624756,5.282829761505127,0.6986225843429565,6.733253479003906,2.6839759349823,5.8999810218811035,0.7629333138465881,6.389019012451172,2.579338788986206,5.555811882019043,0.8231292366981506,6.793144226074219,2.6882405281066895,5.959871768951416,0.7677897214889526,,,,,,,,,,,,,,,,
3,5627,,,,,,,,,,,,,,,,,6.216006278991699,2.53910493850708,5.3826680183410645,0.7183771133422852,6.093533039093018,2.347139358520508,5.2602949142456055,0.7318000197410583,5.696344375610352,2.221820831298828,4.863414287567139,0.7638888955116272,6.088494300842285,2.33130145072937,5.255261421203613,0.7325349450111389
3,5627,5.958256244659424,2.470263719558716,5.125038146972656,0.7333333492279053,6.239391803741455,2.4438817501068115,5.406204700469971,0.7492444515228271,6.123671054840088,2.40132737159729,5.290725231170654,0.795918345451355,6.266083240509033,2.4421443939208984,5.43289852142334,0.7499877214431763,,,,,,,,,,,,,,,,
4,7034,,,,,,,,,,,,,,,,,5.563591957092285,2.285308837890625,4.730664253234863,0.6515513062477112,5.404393196105957,2.0990257263183594,4.571347713470459,0.6935999989509583,5.441877841949463,2.253873825073242,4.609119415283203,0.6805555820465088,5.38900089263916,2.0792429447174072,4.555941581726074,0.697715699672699
4,7034,5.608909606933594,2.360135555267334,4.775469779968262,0.7057850956916809,5.876766681671143,2.2750887870788574,5.043579578399658,0.7351999878883362,6.089079856872559,2.467953681945801,5.255956172943115,0.7551020383834839,5.897547245025635,2.264739751815796,5.064385414123535,0.7375312447547913,,,,,,,,,,,,,,,,
5,8441,,,,,,,,,,,,,,,,,5.4917402267456055,2.1606602668762207,4.658206462860107,0.6539379358291626,5.73066520690918,2.054867744445801,4.897093772888184,0.6764000058174133,5.78995943069458,2.316669464111328,4.956789970397949,0.6527777910232544,5.751920700073242,2.0408568382263184,4.918336391448975,0.6788644790649414
5,8441,5.277174949645996,2.178431987762451,4.4441070556640625,0.6914600729942322,5.507143020629883,2.1288068294525146,4.673942565917969,0.7075999975204468,5.489055633544922,2.191911458969116,4.656291961669922,0.7482993006706238,5.527874946594238,2.1234829425811768,4.694655418395996,0.7084497809410095,,,,,,,,,,,,,,,,
6,9848,,,,,,,,,,,,,,,,,5.921635627746582,2.4305312633514404,5.08839750289917,0.7016706466674805,5.524532318115234,2.146242141723633,4.6912736892700195,0.7057999968528748,5.825717449188232,2.363369941711426,4.992020606994629,0.6944444179534912,5.482823848724365,2.1163582801818848,4.649569988250732,0.7063650488853455
6,9848,5.12974214553833,2.0917248725891113,4.296590328216553,0.6782369017601013,5.377736568450928,2.0510127544403076,4.544592380523682,0.7066666483879089,5.763665676116943,2.203256130218506,4.930469036102295,0.7687074542045593,5.3942413330078125,2.0451951026916504,4.561100959777832,0.7083026766777039,,,,,,,,,,,,,,,,
7,11255,,,,,,,,,,,,,,,,,5.021946907043457,1.929518222808838,4.18898868560791,0.6324582099914551,4.780952453613281,1.7336336374282837,3.9479336738586426,0.656000018119812,5.260413646697998,1.9289536476135254,4.427163600921631,0.6944444179534912,4.7509026527404785,1.7123123407363892,3.917880058288574,0.6575737595558167
7,11255,5.064992427825928,2.0583302974700928,4.231861591339111,0.676584005355835,5.239530086517334,1.9972418546676636,4.406324863433838,0.6984000205993652,5.774298667907715,2.2598116397857666,4.941395282745361,0.7653061151504517,5.247350692749023,1.9880207777023315,4.414134979248047,0.699377179145813,,,,,,,,,,,,,,,,
8,12662,,,,,,,,,,,,,,,,,5.06437349319458,1.99372136592865,4.231526851654053,0.6730310320854187,4.763452529907227,1.748166561126709,3.9305684566497803,0.6456000208854675,5.008764266967773,2.0933003425598145,4.175896644592285,0.6527777910232544,4.731572151184082,1.7198368310928345,3.8986830711364746,0.6429363489151001
8,12662,4.996044158935547,1.9976119995117188,4.163001537322998,0.678787887096405,5.075504302978516,1.9259036779403687,4.242484092712402,0.6836888790130615,5.781860828399658,2.269439220428467,4.948800086975098,0.7891156673431396,5.07239294052124,1.9145678281784058,4.239377021789551,0.6826050877571106,,,,,,,,,,,,,,,,
9,14069,,,,,,,,,,,,,,,,,5.136538505554199,1.9495753049850464,4.303712844848633,0.6897374987602234,4.9417901039123535,1.7892755270004272,4.108978748321533,0.6894000172615051,5.6798834800720215,2.2091848850250244,4.8469953536987305,0.7638888955116272,4.9119062423706055,1.7676756381988525,4.079097747802734,0.6881791949272156
9,14069,4.950786113739014,1.9765619039535522,4.117905139923096,0.6837465763092041,4.964272499084473,1.8654682636260986,4.131307601928711,0.6765333414077759,5.615978240966797,2.174799919128418,4.783847808837891,0.7176870703697205,4.956079959869385,1.8511205911636353,4.123093605041504,0.6752979159355164,,,,,,,,,,,,,,,,
10,15476,,,,,,,,,,,,,,,,,4.725137233734131,1.829142451286316,3.892301321029663,0.6587111949920654,4.455805778503418,1.6289869546890259,3.6229190826416016,0.629800021648407,4.699436187744141,1.915921688079834,3.8662545680999756,0.6527777910232544,4.426887512207031,1.6058058738708496,3.594001293182373,0.6267465353012085
10,15476,4.675586700439453,1.8755478858947754,3.8425662517547607,0.6523416042327881,4.822479724884033,1.80291748046875,3.989372491836548,0.6673333048820496,5.467700958251953,2.1242783069610596,4.634230613708496,0.7551020383834839,4.826251983642578,1.7918199300765991,3.9931442737579346,0.6674022674560547,,,,,,,,,,,,,,,,
11,16883,,,,,,,,,,,,,,,,,4.646501064300537,1.811644196510315,3.81361722946167,0.656324565410614,4.457159996032715,1.5979535579681396,3.6242291927337646,0.6281999945640564,5.405703067779541,2.0664775371551514,4.572576522827148,0.6944444179534912,4.424418926239014,1.5706148147583008,3.5914876461029053,0.624528706073761
11,16883,4.563529968261719,1.8162367343902588,3.7306463718414307,0.6253443360328674,4.695967197418213,1.7609034776687622,3.8628759384155273,0.6506666541099548,5.304360866546631,2.08773136138916,4.471473693847656,0.7074829936027527,4.698984146118164,1.7512643337249756,3.865863800048828,0.6521013975143433,,,,,,,,,,,,,,,,
12,18290,,,,,,,,,,,,,,,,,4.52590274810791,1.747511386871338,3.693070888519287,0.6229116916656494,4.387510776519775,1.5518649816513062,3.554797649383545,0.6158000230789185,4.905041217803955,1.8440742492675781,4.072098255157471,0.6805555820465088,4.366389274597168,1.5290179252624512,3.533687114715576,0.6141051054000854
12,18290,4.490405559539795,1.785518765449524,3.6574041843414307,0.6192837357521057,4.616759777069092,1.7039493322372437,3.7838077545166016,0.6480444669723511,5.181701183319092,2.038177013397217,4.3490519523620605,0.704081654548645,4.61986780166626,1.6918704509735107,3.7869088649749756,0.6497964859008789,,,,,,,,,,,,,,,,
13,19697,,,,,,,,,,,,,,,,,4.624752998352051,1.7425785064697266,3.7913153171539307,0.620525062084198,4.422895431518555,1.5614064931869507,3.5896260738372803,0.6164000034332275,4.918162822723389,1.9148240089416504,4.08457612991333,0.6666666865348816,4.396230697631836,1.5389281511306763,3.5629806518554688,0.6152139902114868
13,19697,4.42879581451416,1.7317960262298584,3.5959014892578125,0.6380165219306946,4.494449138641357,1.65324068069458,3.66158127784729,0.6352444291114807,5.541888236999512,2.107421636581421,4.7082200050354,0.7278911471366882,4.485188961029053,1.6397016048431396,3.6523354053497314,0.6336619257926941,,,,,,,,,,,,,,,,
14,21104,,,,,,,,,,,,,,,,,4.385804653167725,1.6956775188446045,3.552704095840454,0.5894988179206848,4.332457542419434,1.5638301372528076,3.4994168281555176,0.5956000089645386,4.575821399688721,1.8825846910476685,3.7427237033843994,0.6527777910232544,4.323614597320557,1.5464887619018555,3.490579843521118,0.5952539443969727
14,21104,4.4207563400268555,1.7168642282485962,3.587554454803467,0.6264463067054749,4.4254631996154785,1.6258320808410645,3.5925257205963135,0.6277777552604675,5.0708441734313965,2.0195891857147217,4.237572193145752,0.7414966225624084,4.416582107543945,1.6120529174804688,3.583672046661377,0.6262567043304443,,,,,,,,,,,,,,,,
15,22511,,,,,,,,,,,,,,,,,4.215173721313477,1.620166301727295,3.382190227508545,0.6181384325027466,4.104497909545898,1.4375686645507812,3.2716610431671143,0.5884000062942505,4.789158344268799,1.9525816440582275,3.95601749420166,0.6111111044883728,4.083280563354492,1.4123761653900146,3.2504613399505615,0.5852739214897156
15,22511,4.31333065032959,1.6808515787124634,3.4803948402404785,0.6038567423820496,4.305351734161377,1.5672801733016968,3.472402334213257,0.6114222407341003,5.14676570892334,1.9998903274536133,4.313174724578857,0.7074829936027527,4.292511463165283,1.550933837890625,3.459569215774536,0.610710620880127,,,,,,,,,,,,,,,,
16,23918,,,,,,,,,,,,,,,,,4.385594367980957,1.7065962553024292,3.5522239208221436,0.6610978245735168,4.162271976470947,1.440290927886963,3.3292148113250732,0.5989999771118164,5.4753618240356445,2.0712578296661377,4.641757011413574,0.6527777910232544,4.120550632476807,1.4054694175720215,3.2875332832336426,0.5923708081245422
16,23918,4.230573654174805,1.6451365947723389,3.397815704345703,0.5994490385055542,4.256466865539551,1.5363367795944214,3.4236509799957275,0.6076889038085938,5.007910251617432,1.9729975461959839,4.175119876861572,0.6904761791229248,4.247936725616455,1.5203574895858765,3.415113925933838,0.607228696346283,,,,,,,,,,,,,,,,
17,25325,,,,,,,,,,,,,,,,,4.357365131378174,1.7039985656738281,3.52397084236145,0.6157518029212952,4.1396870613098145,1.4532191753387451,3.3065054416656494,0.5753999948501587,5.345551013946533,2.0151917934417725,4.5119404792785645,0.6111111044883728,4.100203990936279,1.4209421873092651,3.2670488357543945,0.5710800886154175
17,25325,4.250484466552734,1.637678861618042,3.417379379272461,0.5983471274375916,4.189014434814453,1.505552053451538,3.3560776710510254,0.596666693687439,5.009761810302734,1.9611899852752686,4.177019119262695,0.6870748400688171,4.171708106994629,1.4872227907180786,3.338785409927368,0.5952135920524597,,,,,,,,,,,,,,,,
18,26732,,,,,,,,,,,,,,,,,4.485190391540527,1.7126989364624023,3.651750087738037,0.6252983212471008,4.153327941894531,1.4404295682907104,3.320103168487549,0.5623999834060669,5.15118408203125,1.9461721181869507,4.317441940307617,0.7083333134651184,4.106554985046387,1.4070525169372559,3.2733583450317383,0.5542249083518982
18,26732,4.137425899505615,1.614503026008606,3.3043150901794434,0.5873278379440308,4.116585731506348,1.4722115993499756,3.283785104751587,0.5842221975326538,4.913907527923584,1.9145241975784302,4.080503940582275,0.6564626097679138,4.10323429107666,1.4531676769256592,3.270465612411499,0.5829042196273804,,,,,,,,,,,,,,,,
