epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
0,1406,,,,,,,,,,,,,,,,,8.49726390838623,3.3739235401153564,7.664176940917969,0.7470167279243469,9.521632194519043,3.6069819927215576,8.688568115234375,0.7918000221252441,8.454361915588379,3.0777840614318848,7.621466636657715,0.875,9.633857727050781,3.637087345123291,8.800797462463379,0.7946329712867737
0,1406,12.849783897399902,5.629685878753662,12.016389846801758,0.8115702271461487,16.64740562438965,6.739038944244385,15.814033508300781,0.8389333486557007,11.650444984436035,5.083288192749023,10.816497802734375,0.8333333134651184,17.057483673095703,6.861653804779053,16.224119186401367,0.8414496779441833,,,,,,,,,,,,,,,,
1,2813,,,,,,,,,,,,,,,,,7.840148448944092,3.0655198097229004,7.006686687469482,0.7732697129249573,7.5533318519592285,2.784266710281372,6.720003128051758,0.7432000041007996,7.53550386428833,2.9720942974090576,6.702088832855225,0.8055555820465088,7.52696418762207,2.755131483078003,6.6936516761779785,0.7394100427627563
1,2813,7.032498359680176,2.9462008476257324,6.199416160583496,0.7542699575424194,8.269723892211914,3.2346608638763428,7.436489582061768,0.8010666370391846,6.648643970489502,2.7088871002197266,5.815014839172363,0.8129251599311829,8.403225898742676,3.267914295196533,7.569986343383789,0.8050610423088074,,,,,,,,,,,,,,,,
2,4220,,,,,,,,,,,,,,,,,5.943525314331055,2.3742783069610596,5.1102986335754395,0.7112171649932861,6.018189907073975,2.2726173400878906,5.185091495513916,0.7436000108718872,6.095678329467773,2.2151570320129395,5.2625508308410645,0.8055555820465088,6.023892402648926,2.2640881538391113,5.190805435180664,0.7456198930740356
2,4220,5.999128818511963,2.568828821182251,5.165495872497559,0.7322313785552979,6.6269450187683105,2.672508955001831,5.793771743774414,0.7722222208976746,6.482548236846924,2.6540791988372803,5.649752616882324,0.8129251599311829,6.6849045753479,2.6820051670074463,5.851773738861084,0.7751949429512024,,,,,,,,,,,,,,,,
3,5627,,,,,,,,,,,,,,,,,5.4825873374938965,2.417361259460449,4.649656772613525,0.6873508095741272,5.392409324645996,2.284008502960205,4.559452533721924,0.7196000218391418,5.212125778198242,2.154160737991333,4.379201889038086,0.75,5.386907577514648,2.2736899852752686,4.553948402404785,0.7221113443374634
3,5627,5.735188961029053,2.3958792686462402,4.902045249938965,0.7118457555770874,6.1372456550598145,2.440516233444214,5.304080486297607,0.7527555823326111,6.04002571105957,2.421922206878662,5.206740379333496,0.7653061151504517,6.174440860748291,2.444756031036377,5.341267108917236,0.7562159895896912,,,,,,,,,,,,,,,,
4,7034,,,,,,,,,,,,,,,,,5.536784648895264,2.2590532302856445,4.703779220581055,0.715990424156189,5.105854034423828,1.9761993885040283,4.2729716300964355,0.6937999725341797,5.666759490966797,2.126528024673462,4.834089756011963,0.7638888955116272,5.056848049163818,1.9475151300430298,4.2239789962768555,0.6906187534332275
4,7034,5.569863319396973,2.291487455368042,4.736662864685059,0.7090908885002136,5.867557525634766,2.3050858974456787,5.034447193145752,0.7414666414260864,6.084499359130859,2.433711051940918,5.25170373916626,0.7789115905761719,5.890928745269775,2.3044402599334717,5.05781888961792,0.7438085675239563,,,,,,,,,,,,,,,,
